ID, STATION,RIDES,COMMENT,WIDTH,HEIGHT
113,JACKSON AVENUE-WESTCHESTER    ,4583,,,
114,SUTTER AVENUE                 ,4579,,,
115,ROCKAWAY AVE-HOPKINSON AVE    ,4569,,,
116,36TH STREET-4TH AVENUE        ,4559,,,
117,125TH STREET-LENOX AVENUE     ,4536,,,
118,169TH STREET & HILLSIDE AVE   ,4526,,,
119,181ST STREET-ST NICHOLAS AV   ,4524,,,
120,BAY RIDGE AVE-4TH AVENUE      ,4459,,,
121,WINTHROP ST-NOSTRAND AVE      ,4444,,,
122,ROCKAWAY BLVD-LIBERTY AVE     ,4434,,,
123,CARROLL ST-PRESIDENT ST       ,4431,,,
124,PENNSYLVANIA AVENUE           ,4401,,,
125,CHURCH AVE-MCDONALD AVE       ,4388,,,
126,DYCKMAN STREET-BROADWAY       ,4367,,,
127,SIMPSON ST-WESTCHESTER AVE    ,4356,,,
128,HUNTS PT AVE-SOUTHERN BLVD    ,4335,,,
129,BAY 50TH STREET-STILLWELL     ,4327,,,
130,176TH STREET-JEROME AVENUE    ,4315,,,
131,157TH STREET-BROADWAY         ,4279,,,
132,4TH AVENUE-9TH STREET         ,4279,,,
133,86TH STREET-4TH AVENUE        ,4279,,,
134,34TH STREET & 6TH AVENUE      ,4217,,,
135,MONTROSE AVENUE               ,4213,,,
136,111TH STREET-ROOSEVELT AVE    ,4210,,,
137,ROCKAWAY AVENUE               ,4174,,,
138,2ND AVENUE-HOUSTON STREET     ,4144,,,
139,EAST TREMONT AVENUE-178 ST    ,4142,,,
140,NEVINS STREET                 ,4134,,,
141,CASTLE HILL AVENUE            ,4133,,,
142,MARCY AVENUE-BROADWAY         ,4122,,,
143,FORT HAMILTON PARKWAY-62ND    ,4118,,,
144,179TH STREET & HILLSIDE AVE   ,4083,,,
145,183RD STREET-JEROME AVENUE    ,4044,,,
146,RALPH AVENUE-FULTON STREET    ,4028,,,
147,14TH STREET-6TH AVENUE        ,3984,,,
148,NEWKIRK PLAZA                 ,3976,,,
149,FORDHAM RD/GRAND CONCOURSE    ,3949,,,
150,167TH ST-GRAND CONCOURSE      ,3921,,,
151,METROPOLITAN AVE-LORIMER ST   ,3909,,,
152,KINGSBRIDGE RD-196TH ST       ,3900,,,
153,FLUSHING AVE-BROADWAY         ,3898,,,
154,145TH STREET-BROADWAY         ,3881,,,
155,23RD STREET-7TH AVENUE        ,3880,,,
156,UNION TURNPIKE-KEW GARDENS    ,3878,,,
157,46TH ST-BLISS ST              ,3859,,,
158,25TH AVENUE-86TH STREET       ,3837,,,
159,170TH STREET-GRAND CONC.      ,3817,,,
160,VAN WYCK BLVD-MAIN STREET     ,3809,,,
161,GRANT AVENUE-PITKIN AVENUE    ,3756,,,
162,110TH STREET-BROADWAY         ,3743,,,
163,34TH STREET - PENN STATION    ,3715,,,
164,45TH STREET-4TH AVENUE        ,3705,,,
165,207TH STREET                  ,3701,,,
166,EAST 180TH ST-MORRIS PARK     ,3696,,,
167,BROADWAY-EAST NEW YORK        ,3690,,,
168,DEKALB AVE-WYCKOFF AVE        ,3674,,,
169,BROOK AVENUE-138TH STREET     ,3665,,,
170,BROADWAY LAFAYETTE-BLEECKER   ,3661,,,
171,PROSPECT PARK-EMPIRE BLVD     ,3661,,,
172,53RD STREET-4TH AVENUE        ,3607,,,
173,NEWKIRK AVE-NOSTRAND AVE      ,3607,,,
174,OCEAN PKWAY-BRIGHTON BCH AV   ,3597,,,
175,WEST 4TH ST-WASHINGTON SQ     ,3560,,,
176,SARATOGA AVENUE               ,3558,,,
177,14TH STREET & 7TH AVENUE      ,3555,,,
178,CORTELYOU RD-EAST 16TH ST     ,3539,,,
179,BEDFORD PARK BLVD-203RD ST    ,3535,,,
180,FREEMAN ST-SOUTHERN BLVD      ,3526,,,
181,MORRISON AVE & WESTCHESTER    ,3450,,,
182,WHITEHALL STREET              ,3450,,,
183,138TH STREET-3RD AVE          ,3429,,,
184,MYRTLE AVENUE-BROADWAY        ,3420,,,
185,148TH STREET-LENOX AVENUE     ,3409,,,
186,233RD ST-WHITE PLAINS ROAD    ,3406,,,
187,125TH STREET & BROADWAY       ,3397,,,
188,LIVONIA AVE-VAN SINDEREN AV   ,3395,,,
189,PRESIDENT ST-NOSTRAND AVE     ,3387,,,
190,EASTERN PARKWAY               ,3376,,,
191,GATES AVENUE-BROADWAY         ,3364,,,
192,86TH ST-CENTRAL PARK WEST     ,3324,,,
193,MT EDEN AVENUE-JEROME AVE     ,3312,,,
194,STERLING ST-NOSTRAND AVE      ,3296,,,
195,NEW LOTS AVENUE               ,3287,,,
196,PARSONS BLVD & HILLSIDE AV    ,3282,,,
197,LAFAYETTE AVENUE-FULTON ST    ,3266,,,
198,TREMONT AVE-179TH ST          ,3242,,,
199,47-50 STREETS/ROCKEFELLER     ,3240,,,
200,ST GEORGE TERMINAL            ,3238,,,
201,FULTON STREET                 ,3233,,,
202,KINGSTON AVE-THROOP AVE       ,3206,,,
203,NORWOOD AVENUE-FULTON ST      ,3197,,,
204,CRESCENT STREET-FULTON ST     ,3179,,,
205,207TH STREET-BROADWAY         ,3152,,,
206,219TH ST-WHITE PLAINS ROAD    ,3113,,,
207,AVENUE J-EAST 16TH STREET     ,3068,,,
208,NASSAU AVE-MANHATTAN AVE      ,3068,,,
209,111TH STREET                  ,3020,,,
210,9TH AVENUE-39TH STREET        ,3007,,,
211,231ST STREET                  ,3004,,,
212,DITMAS AVE-MCDONALD AVE       ,3002,,,
213,42ND STREET & 8TH AVENUE      ,3001,,,
214,HALSEY STREET-WYCKOFF AVE     ,2991,,,
215,34TH STREET & 8TH AVENUE      ,2974,,,
216,LEXINGTON AVENUE              ,2958,,,
217,GUN HILL ROAD-SEYMOUR         ,2950,,,
218,EAST 149TH ST-SOUTHERN BLVD   ,2908,,,
219,241ST ST-WHITE PLAINS RD      ,2901,,,
220,175TH STREET/FT WASHINGTON    ,2900,,,
221,36TH AVENUE & 31ST STREET     ,2897,,,
222,HALSEY STREET-BROADWAY        ,2892,,,
223,181ST STREET-FT WASH AVE      ,2882,,,
224,LORIMER STREET-BROADWAY       ,2854,,,
225,INTERVALE 163RD STREET        ,2842,,,
226,155TH STREET-8TH AVENUE       ,2836,,,
227,CANAL ST-LAFAYETTE ST EAST    ,2834,,,
228,NOSTRAND AVENUE               ,2831,,,
229,205TH ST-BAINBRIDGE AVE       ,2830,,,
230,30TH AVENUE & 31ST STREET     ,2796,,,
231,BAY PARKWAY-66TH STREET       ,2792,,,
232,SHEPHERD AVE-PITKIN AVE       ,2791,,,
233,FULTON & WILLIAM STREETS      ,2785,,,
234,PELHAM PKWY-ESPLANADE         ,2779,,,
235,GRAND ARMY PLAZA              ,2772,,,
236,49TH STREET & 7TH AVENUE      ,2762,,,
237,NEW LOTS AV-VAN SINDEREN AV   ,2743,,,
238,225TH STREET                  ,2734,,,
239,BEVERLY RD-NOSTRAND AVE       ,2722,,,
240,CLEVELAND STREET-FULTON ST    ,2689,,,
241,LONGWOOD AVE-SOUTHERN BLVD    ,2679,,,
242,79TH STREET-BROADWAY          ,2665,,,
243,ALLERTON AV-WHITE PLAINS RD   ,2657,,,
244,NEW UTRECHT AVENUE-62ND ST    ,2633,,,
245,HOYT STREET-HOYT STREET       ,2626,,,
246,116TH STREET-8TH AVENUE       ,2623,,,
247,15TH ST-PROSPECT PARK WEST    ,2620,,,
248,110TH STREET-8TH AVENUE       ,2618,,,
249,182ND STREET-183RD STREET     ,2585,,,
250,VAN SICLEN AVE-PITKIN AVE     ,2573,,,
251,63RD DRIVE-REGO PARK          ,2568,,,
252,AVENUE U-WEST 7TH STREET      ,2550,,,
253,KOSCIUSZKO STREET-BROADWAY    ,2497,,,
254,SUTPHIN BOULEVARD             ,2475,,,
